cnn_key,midblock_rows,midblock_measure_types,midblock_n_measure_types,midblock_units_total,midblock_first_install_dt,midblock_last_install_dt,midblock_complete_rows,midblock_has_complete,midblock_statuses,midblock_neighborhoods,latest_pci_score,latest_pci_change_dt,latest_functional_class,has_latest_pci,midblock_age_days_as_of_latest_pci
770000,1,[],0,,,,0,False,['Pending design review and approval'],['West Portal'],87.0,2025-09-02 09:10:42,Residential,True,
771000,1,['Speed Hump'],1,1.0,2017-11-01,2017-11-01,1,True,['Complete'],['West Portal'],84.0,2025-09-02 09:10:42,Residential,True,2862.0
799000,1,[],0,,,,0,False,['Pending design review and approval'],['Mission Dolores'],84.0,2025-09-15 08:45:46,Collector,True,
800000,1,[],0,,,,0,False,[],['The Mission'],73.0,2025-09-15 08:45:46,Collector,True,
801000,1,[],0,,,,0,False,['Pending design review and approval'],['Mission Dolores'],63.0,2025-09-15 08:45:46,Collector,True,
811000,1,['Speed Table'],1,1.0,2021-02-01,2021-02-01,1,True,['Complete'],['Corona Heights'],67.0,2025-09-30 09:10:43,Arterial,True,1702.0
812000,2,"['3-Lump Speed Cushion', 'Speed Table']",2,2.0,2021-02-01,2024-04-01,1,True,"['Complete', 'Obsolete']",['Corona Heights'],75.0,2025-09-30 09:10:43,Arterial,True,1702.0
816000,2,['5-Lump Speed Cushion'],1,2.0,2014-01-01,2014-01-01,0,False,"['Obsolete', 'Pending construction']",['Corona Heights'],90.0,2025-09-16 09:10:43,Arterial,True,4276.0
827000,1,['Speed Hump'],1,2.0,2020-07-01,2020-07-01,1,True,['Complete'],['Lake'],76.0,2025-08-01 08:20:35,Residential,True,1857.0
828000,1,['Speed Hump'],1,2.0,2020-07-01,2020-07-01,1,True,['Complete'],['Inner Richmond'],78.0,2025-08-01 08:20:35,Residential,True,1857.0
829000,1,['Speed Hump'],1,2.0,2020-07-01,2020-07-01,1,True,['Complete'],['Inner Richmond'],81.0,2025-08-01 08:20:35,Residential,True,1857.0
830000,1,['Speed Hump'],1,2.0,2020-07-01,2020-07-01,1,True,['Complete'],['Inner Richmond'],80.0,2025-08-01 08:20:35,Residential,True,1857.0
832000,1,['Speed Hump'],1,2.0,2020-01-01,2020-01-01,1,True,['Complete'],['Inner Richmond'],80.0,2025-08-01 08:20:35,Residential,True,2039.0
833000,1,['Speed Hump'],1,2.0,2017-06-01,2017-06-01,1,True,['Complete'],['Inner Richmond'],72.0,2025-08-01 08:20:35,Residential,True,2983.0
834000,1,['Speed Hump'],1,1.0,2010-01-01,2010-01-01,1,True,['Complete'],['Inner Sunset'],75.0,2025-09-02 09:10:43,Residential,True,5723.0
835000,1,['Speed Hump'],1,1.0,2007-06-01,2007-06-01,1,True,['Complete'],['Inner Sunset'],65.0,2025-09-02 09:10:43,Residential,True,6668.0
837000,1,['3-Lump Speed Cushion'],1,2.0,,,0,False,['Pending construction'],['Inner Sunset'],87.0,2025-09-02 09:10:43,Residential,True,
838000,1,['3-Lump Speed Cushion'],1,2.0,2021-02-01,2021-02-01,1,True,['Complete'],['Golden Gate Heights'],90.0,2025-09-02 09:10:43,Residential,True,1674.0
839000,1,['3-Lump Speed Cushion'],1,2.0,2021-02-01,2021-02-01,1,True,['Complete'],['Golden Gate Heights'],86.0,2025-09-02 09:10:44,Residential,True,1674.0
842000,1,['3-Lump Speed Cushion'],1,2.0,,,0,False,['Pending construction'],['Golden Gate Heights'],90.0,2025-09-02 09:10:44,Residential,True,
844000,1,['3-Lump Speed Cushion'],1,2.0,2018-11-01,2018-11-01,1,True,['Complete'],['Golden Gate Heights'],83.0,2025-09-02 09:10:44,Residential,True,2497.0
845000,1,[],0,,,,0,False,['Pending design review and approval'],['Golden Gate Heights'],63.0,2025-09-02 09:10:44,Residential,True,
846000,1,[],0,,,,0,False,['Pending design review and approval'],['West Portal'],87.0,2025-09-02 09:10:44,Residential,True,
847000,1,['Speed Hump'],1,2.0,2022-03-01,2022-03-01,1,True,['Complete'],['West Portal'],66.0,2025-09-02 09:10:44,Residential,True,1281.0
848000,1,['Speed Hump'],1,2.0,2021-02-01,2021-02-01,1,True,['Complete'],['West Portal'],85.0,2025-09-02 09:10:44,Residential,True,1674.0
858000,2,['Speed Hump'],1,2.0,2021-03-01,2021-03-01,1,True,"['Complete', 'Pending construction']",['Potrero Hill'],34.0,2025-10-06 09:10:44,Residential,True,1680.0
887000,1,['5-Lump Speed Cushion'],1,2.0,2020-09-01,2020-09-01,1,True,['Complete'],['Mission Dolores'],66.0,2025-09-16 09:10:45,Collector,True,1841.0
900000,1,['3-Lump Speed Cushion'],1,1.0,2023-09-01,2023-09-01,1,True,['Complete'],['Eureka Valley'],59.0,2025-09-16 09:10:45,Collector,True,746.0
902000,1,['Speed Hump'],1,2.0,2020-07-01,2020-07-01,1,True,['Complete'],['Lake'],79.0,2025-08-12 08:20:35,Residential,True,1868.0
903000,1,['Speed Hump'],1,2.0,2020-07-01,2020-07-01,1,True,['Complete'],['Outer Richmond'],77.0,2025-08-12 08:20:35,Residential,True,1868.0
905000,1,['Speed Hump'],1,2.0,2020-07-01,2020-07-01,1,True,['Complete'],['Outer Richmond'],83.0,2025-08-01 08:20:35,Residential,True,1857.0
906000,1,['3-Lump Speed Cushion'],1,2.0,2019-06-01,2019-06-01,1,True,['Complete'],['Inner Richmond'],91.0,2025-08-01 08:20:35,Residential,True,2253.0
908000,1,['3-Lump Speed Cushion'],1,2.0,2023-07-01,2023-07-01,1,True,['Complete'],['Inner Richmond'],77.0,2025-08-01 08:20:35,Residential,True,762.0
932000,1,['Road Diet'],1,0.0,,,1,True,['Complete'],['Ingleside Heights'],43.0,2025-09-15 08:45:46,Collector,True,
933000,1,['Road Diet'],1,0.0,,,1,True,['Complete'],['Ingleside Heights'],51.0,2025-09-15 08:45:46,Collector,True,
934000,1,['Road Diet'],1,0.0,,,1,True,['Complete'],['Ingleside Heights'],38.0,2025-09-15 08:45:46,Collector,True,
950000,1,['Speed Hump'],1,1.0,,,1,True,['Complete'],['Potrero Hill'],80.0,2024-09-01 07:46:07,Residential,True,
978000,2,['Speed Hump'],1,4.0,2022-05-01,2022-05-01,1,True,"['Complete', 'Pending design review and approval']",['Mission Dolores'],83.0,2025-09-21 09:10:46,Residential,True,1239.0
979000,1,['Speed Hump'],1,2.0,2022-05-01,2022-05-01,1,True,['Complete'],['Mission Dolores'],74.0,2025-09-21 09:10:46,Residential,True,1239.0
987000,1,['3-Lump Speed Cushion'],1,1.0,,,0,False,['Pending construction'],['Eureka Valley'],85.0,2025-09-16 09:10:46,Residential,True,
991000,1,['Speed Cushion'],1,2.0,,,1,True,['Complete'],['Eureka Valley'],100.0,2024-04-16 14:22:26,Residential,True,
