"row_id","objectid","cnn","nhood","streetname","district","from_st","to_st","project_location","tc_measure","units","install_mo","install_yr","install_datetime","fiscal_yr","program","current_status","current_ti","next_step","next_step_2","shape","data_as_of","data_loaded_at"
"334","29502","3836000","Cayuga","CAYUGA AVE","11","ONEIDA AVE","SUNBEAM LN","Cayuga Avenue from Oneida Avenue to Sunbeam Lane","Speed Hump","1","6","2020","2020/06/01","FY 2018-2019","D11 NTIP","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.440472919 37.720933816, -122.440701317 37.720567746, -122.440947061 37.720184353)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"335","29507","3841000","Outer Mission","CAYUGA AVE","11","GENEVA AVE","SEMINOLE AVE","Cayuga Avenue from Geneva Avenue to Seminole Avenue","Speed Hump","1","1","2016","2016/01/01",,,"Complete","<Null>","<Null>","<Null>","LINESTRING (-122.443696073 37.718928673, -122.444190955 37.718470082)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"336","29510","3760201","Hunters Point","CASHMERE ST","10","END","HUDSON AVE","Cashmere Street from End to Hudson Avenue","Speed Bump","1","0","0","1900/01/01",,,"Complete","<Null>","<Null>","<Null>","LINESTRING (-122.382044001 37.735625315, -122.382100674 37.735698613, -122.382565802 37.735814602, -122.382951345 37.735858152, -122.383253358 37.735874936, -122.383330884 37.735870511, -122.383425445 37.735803254)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"338","29533","3779000","Telegraph Hill","CASTLE ST","3","GREEN ST","UNION ST","Castle Street from Green Street to Union Street","Speed Hump","1","4","2008","2008/04/01","FY 2007-2008","Site Specific","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.40505102 37.800000815, -122.405240046 37.800933743)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"339","30293","3050000","Golden Gate Park","BOWLING GREEN DR","7","NANCY PELOSI DR","MARTIN LUTHER KING JR ST","Bowling Green Drive from Nancy Pelosi Drive to Martin Luther King Jr Street","Raised Crosswalk","1","9","2018","2018/09/01",,"Golden Gate Park Traffic Safety","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.460107592 37.77039935, -122.460272871 37.770216658, -122.460319067 37.77011357, -122.460336825 37.769943916, -122.460340968 37.769763905, -122.460296496 37.769595287, -122.460157577 37.769441623, -122.459915905 37.769282353, -122.459497186 37.769012978, -122.459441457 37.768900858, -122.459453307 37.768749933, -122.459526798 37.768535179, -122.459652593 37.768302809, -122.459790925 37.768145593, -122.46026725 37.767798533, -122.460676842 37.767448811)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"341","30330","3006000","Holly Park","BOCANA ST","9","CORTLAND AVE","ELLERT ST","Bocana Street from Cortland Avenue to Ellert Street","Speed Hump","2","6","2022","2022/06/01",,"Restoration after VL Sewer #3","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.418584376 37.73929728, -122.419073323 37.73853769)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"342","29067","4211000","Noe Valley","CLIPPER ST","8","DOLORES ST","CHURCH ST","Clipper Street from Dolores Street to Church Street","3-Lump Speed Cushion","2","<Null>","<Null>",,"FY 2015-2016","App-Based","Pending construction","TBD","Completion","TBD","LINESTRING (-122.424922999 37.749434902, -122.427200038 37.749295721)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"343","29068","4212000","Noe Valley","CLIPPER ST","8","CHURCH ST","SANCHEZ ST","Clipper Street from Church Street to Sanchez Street","3-Lump Speed Cushion","2","2","2022","2022/02/01","FY 2015-2016","App-Based","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.427200038 37.749295721, -122.429422762 37.749157853)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"344","29070","4215000","Noe Valley","CLIPPER ST","8","CASTRO ST","DIAMOND ST","Clipper Street from Castro Street to Diamond Street","3-Lump Speed Cushion","2","5","2020","2020/05/01",,"2500J Restoration of FY15 App-Based after Restoration","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.433851103 37.748895972, -122.436067173 37.748762035)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"348","29570","3733000","Hunters Point","CARROLL AVE","10","ARELIOUS WALKER DR","GIANTS DR","Carroll Avenue from Arelious Walker Drive to Giants Drive","3-Lump Speed Cushion","1","6","2023","2023/06/01","FY 2020-2021","App-Based","Complete",,,"<Null>","LINESTRING (-122.384085871 37.719667249, -122.384216605 37.719808303, -122.385869068 37.720746313)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"351","29575","3738000","Bayview District","CARROLL AVE","10","03RD ST","KEITH ST","Carroll Avenue from 3rd Street to Keith Street","3-Lump Speed Cushion","2","7","2023","2023/07/01","FY 2021-2022","App-Based",,"<Null>","<Null>","<Null>","LINESTRING (-122.393358761 37.724973571, -122.394243493 37.72547565)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"352","30331","3007000","Bernal Heights South","BOCANA ST","9","ELLERT ST","HOLLY PARK CIR","Bocana Street from Ellert Street to Holly Park Circle","Speed Hump","1","0","0","1900/01/01",,,"Complete","<Null>","<Null>","<Null>","LINESTRING (-122.419073323 37.73853769, -122.419302494 37.73818196)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"353","30350","3025201","Mission Terrace","LYELL ST","8, 11","STILL ST","BOSWORTH ST","Lyell Street from Streetill Street to Bosworth Street","5-Lump Speed Cushion","1","3","2021","2021/03/01","<Null>","D8 Safe Streets","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.431390306 37.731737131, -122.431594974 37.731804781, -122.431688525 37.731875224, -122.431833858 37.732437282, -122.431956599 37.732993565)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"354","30370","2958000","Hunters Point","BERTHA LN","10","HARBOR RD","HUDSON AVE","Bertha Lane  from Harbor Rd to Hudson Avenue","Speed Bump","1","0","0","1900/01/01",,,"Complete","<Null>","<Null>","<Null>","LINESTRING (-122.381284181 37.734033853, -122.381440327 37.733888653, -122.381475852 37.733713667, -122.381294698 37.733462859, -122.381018151 37.733236566, -122.380660009 37.732983956, -122.380185611 37.732660002, -122.380132981 37.732553812, -122.380184589 37.732422174)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"355","29125","4178000","Outer Richmond","CLEMENT ST","1","28TH AVE","29TH AVE","Clement Street from 28th Avenue to 29th Avenue","3-Lump Speed Cushion","1","7","2023","2023/07/01","FY 2020-2021","App-Based","Complete",,,"<Null>","LINESTRING (-122.488085019 37.7818745, -122.489156973 37.781825014)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"356","29133","4186000","Outer Richmond","CLEMENT ST","1","36TH AVE","38TH AVE","Clement Street from 36th Avenue to 38th Avenue","Speed Hump","1","0","2014","2014/01/01","FY 2013-2014","Site Specific","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.496659885 37.781477294, -122.498801334 37.781377192)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"357","29134","4187000","Outer Richmond","CLEMENT ST","1","38TH AVE","39TH AVE","Clement Street from 38th Avenue to 39th Avenue","Speed Hump","1","0","2014","2014/01/01","FY 2013-2014","Site Specific","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.498801334 37.781377192, -122.499870571 37.781327196)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"358","29135","4188000","Outer Richmond","CLEMENT ST","1","39TH AVE","40TH AVE","Clement Street from 39th Avenue to 40th Avenue","Speed Hump","1","0","2014","2014/01/01","FY 2013-2014","Site Specific","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.499870571 37.781327196, -122.500945051 37.781276945)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"359","29597","3760101","Hunters Point","CASHMERE ST","10","END","HUDSON AVE","Cashmere Street from End to Hudson Avenue","Speed Bump","1","0","0","1900/01/01",,,"Complete","<Null>","<Null>","<Null>","LINESTRING (-122.382044001 37.735625315, -122.382125227 37.735573592, -122.382564835 37.735691198, -122.382944031 37.735739992, -122.383250993 37.735757923, -122.383320335 37.735753905, -122.383425445 37.735803254)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
