unique_id,case_id_fkey,latitude,longitude,death_datetime,collision_datetime,location,age,sex,deceased,collision_type,street_type,analysis_neighborhood,supervisor_district
123,170511151,37.806225384730325,-122.4087474430318,2017-06-29 21:28:00,2017-06-23 12:37:00,100 Block of Bay Street,59.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,North Beach,3.0
124,170588291,37.784953879702925,-122.42798892701636,2017-07-19 20:33:00,2017-07-19 20:23:00,Laguna Street and Geary Blvd,29.0,Male,Motorcyclist,Motorcycle vs Truck,City Street,Western Addition,5.0
125,170028322,37.797513407359176,-122.43215351401358,2017-01-11 14:04:00,2017-01-11 12:33:00,Union Street at Buchanan Street,76.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Marina,2.0
126,170141720,37.7367596132621,-122.3794099112352,2017-02-18 22:11:00,2017-02-18 21:23:00,Middle Point Road at West Point Road,26.0,Male,Motorcyclist,Dirt Bike Collision,City Street,Bayview Hunters Point,10.0
127,170753632,37.76958607626767,-122.40758738741344,2017-09-15 08:25:00,2017-09-15 08:15:00,Brannan Street and Dore Street,41.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,South of Market,6.0
128,170773458,37.744184021960606,-122.3989022360992,2017-09-22 02:25:00,2017-09-22 02:15:00,2075 Jerrold Avenue,56.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Bayview Hunters Point,10.0
129,170785970,37.781854205126166,-122.41386375710368,2017-09-27 14:15:00,2017-09-26 12:42:00,Leavenworth Street and Golden Gate Avenue,66.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,5.0
130,170810464,37.77363529637952,-122.44092179249878,2017-10-04 23:09:00,2017-10-04 17:22:00,Baker Street at Fell Street,90.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Hayes Valley,5.0
131,170891038,37.73383602877292,-122.4933465334236,2017-10-31 20:25:00,2017-10-31 20:25:00,1800 Block of Sloat Boulevard,47.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Sunset/Parkside,4.0
132,170914715,37.78193217360364,-122.46542291532748,2017-11-09 17:55:00,2017-11-09 12:19:00,7th Avenue and Geary Boulevard,78.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Inner Richmond,1.0
133,170625865,37.7100128558735,-122.39149799846103,2017-08-01 19:17:00,2017-08-01 19:02:00,Harney Way West of Executive Park Boulevard,37.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Bayview Hunters Point,10.0
134,170674016,37.73245493321498,-122.41588443703344,2017-08-18 18:12:00,2017-08-18 18:01:00,500 Block of Alemany Boulevard,49.0,Male,Motorcyclist,Motorcycle Collision,City Street,Bernal Heights,9.0
135,170674602,37.770291755667,-122.4372265533854,2017-08-18 23:12:00,2017-08-18 00:00:00,824 Waller Street,52.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Haight Ashbury,8.0
136,170989611,37.7242999611317,-122.45816783664336,2017-12-07 08:29:00,2017-12-07 08:29:00,Miramar Avenue and Ocean Avenue,63.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Oceanview/Merced/Ingleside,11.0
137,170996597,37.74862541106767,-122.47601813686768,2017-12-09 16:35:00,2017-12-09 16:35:00,19th Avenue and Quintara Street,69.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,West of Twin Peaks,7.0
143,180060546,37.71855542160001,-122.412859192,2018-01-23 13:10:00,2018-01-23 13:09:00,Mansell Street near Visitacion Avenue,34.0,Male,Driver,Motor Vehicle Collision,City Street,McLaren Park,9.0
144,180146340,37.708999301900015,-122.458241195,2018-02-24 07:07:00,2018-02-24 06:27:00,Intersection of San Jose Avenue and Rice Street,66.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Outer Mission,11.0
145,180198880,37.79761285939997,-122.40873591199998,2018-03-16 06:52:00,2018-03-16 05:00:00,IFO 732 Broadway Street,63.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Chinatown,3.0
146,180283419,37.7260015564,-122.464220184,2018-04-17 09:49:00,2018-04-17 09:00:00,Victoria Street at Ocean Avenue,80.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,West of Twin Peaks,7.0
147,180313721,37.726990700399995,-122.47490034400002,2018-04-28 02:19:00,2018-04-28 01:40:00,19th Ave at Winston Drive,34.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Lakeshore,7.0
148,180401019,37.74615814469998,-122.387191491,2018-05-29 21:46:00,2018-05-29 00:00:00,IFO 3450 Cargo Way,25.0,Female,Driver,Motor Vehicle Collision,City Street,Bayview Hunters Point,10.0
149,180438727,37.7448022701,-122.43478335099996,2018-06-13 15:07:00,2018-06-13 00:00:00,IFO 562 28th Street,34.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Noe Valley,8.0
150,180477587,37.8051849017,-122.40343572499998,2018-07-09 19:30:00,2018-06-27 16:13:00,Embarcadero and Sansome Street,66.0,Male,Bicyclist,Bicycle vs Motor Vehicle,City Street,North Beach,3.0
151,180530204,37.73400695109999,-122.49338000400002,2018-07-17 12:11:00,2018-07-17 10:06:00,36th Avenue at Sloat Boulevard,69.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Sunset/Parkside,4.0
152,180504760,37.764859538,-122.419650499,2018-07-09 11:56:00,2018-07-07 19:48:00,16th Street and Mission Street,39.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Mission,9.0
153,180641378,37.7555090609,-122.39779335,2018-08-25 16:19:00,2018-08-25 15:40:00,Arkansas Street and 23rd Street,33.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Potrero Hill,10.0
154,180580679,37.781213477799994,-122.45999965800002,2018-08-16 20:50:00,2018-08-04 01:23:00,Arguello Boulevard and Geary Boulevard,54.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Inner Richmond,1.0
155,180620485,37.7848391021,-122.412776698,2018-08-31 00:35:00,2018-08-18 03:08:00,Ellis Street and Jones Street,57.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,5.0
156,180610630,37.7832143128,-122.410764827,2018-08-14 18:24:00,2018-08-14 17:43:00,Turk Street and Taylor Street,65.0,Male,Bicyclist,Bicycle vs Motor Vehicle,City Street,Tenderloin,5.0
157,180693868,37.770658363200006,-122.417486931,2018-09-13 20:19:00,2018-09-13 12:06:00,IFO 1675 Howard Street,56.0,Male,Bicyclist,Bicycle vs Motor Vehicle,City Street,Mission,6.0
158,180709227,37.77496862099997,-122.413190792,2018-09-18 23:52:00,2018-09-18 23:40:00,1300 Block of Howard Street at Washburn Street,61.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,South of Market,6.0
159,180710860,37.73888170779999,-122.414576128,2018-09-20 02:20:00,2018-09-19 14:49:00,Cortland Avenue and Ellsworth Street,75.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Bernal Heights,9.0
160,180720358,37.788074223,-122.421969686,2018-09-25 12:30:00,2018-09-22 21:00:00,Van Ness Avenue at Fern Street,42.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Nob Hill,3.0
161,180750377,37.77271938070001,-122.44068390799998,2018-10-05 20:54:00,2018-10-03 21:15:00,Baker Street and Oak Street,60.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Haight Ashbury,5.0
162,180839573,37.7974931521,-122.409689044,2018-11-05 07:18:00,2018-11-05 06:00:00,Powell Street and Broadway Street,23.0,Female,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Chinatown,3.0
163,180840439,37.7983727036,-122.41045615799996,2018-11-05 12:45:00,2018-11-05 12:38:00,Intersection of Powell Street and Vallejo Street,86.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Chinatown,3.0
164,180862035,37.7269798322,-122.39357015699998,2018-12-02 04:05:00,2018-11-13 12:00:00,3rd Street and Armstrong Avenue,83.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Bayview Hunters Point,10.0
165,180968310,37.72291949889998,-122.44922971599998,2018-12-24 23:55:00,2018-12-24 11:12:00,845 Holloway Ave,58.0,Male,Driver,Motor Vehicle Collision,City Street,Oceanview/Merced/Ingleside,11.0
166,190001944,37.76921934959998,-122.45311311,2019-01-02 00:00:00,2019-01-01 18:05:00,Haight Street and Stanyan Street,84.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Haight Ashbury,5.0
167,190070187,37.77340701079999,-122.506821259,2019-01-29 00:00:00,2019-01-28 17:59:00,46th Avenue and Cabrillo Street,84.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Outer Richmond,1.0
168,190144312,37.78422249150001,-122.477509348,2019-02-27 00:00:00,2019-02-26 20:07:00,18th Avenue and California Street,64.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Outer Richmond,1.0
169,190099121,37.71226841859997,-122.401852829,2019-02-09 00:00:00,2019-02-09 07:21:00,IFO 2189 Bayshore Boulevard,78.0,Female,Driver,Motor Vehicle Collision,City Street,Bayview Hunters Point,10.0
170,190151981,37.718776863099976,-122.420703362,2019-03-01 00:00:00,2019-03-01 19:05:00,Mansell Street and Brazil Avenue near Persia Avenue,45.0,Male,Driver,Motor Vehicle Collision,City Street,McLaren Park,10.0
171,190187691,37.716472588,-122.496531302,2019-03-25 00:00:00,2019-03-15 18:16:00,IFO 655 John Muir Drive,14.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Lakeshore,7.0
172,190226493,37.74947845909999,-122.40286630899998,2019-03-31 00:00:00,2019-03-31 03:04:00,Cesar Chavez Street near Kansas Street,31.0,Female,Passenger,Motor Vehicle Collision,City Street,Potrero Hill,10.0
173,190151044,37.74643619110001,-122.456096787,2019-03-04 00:00:00,2019-03-01 12:25:00,IFO 255 Woodside Ave,37.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,West of Twin Peaks,7.0
174,190160437,37.78190134319998,-122.41387328400002,2019-03-07 00:00:00,2019-03-05 10:29:00,Golden Gate Avenue and Leavenworth Street,58.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,5.0
175,190168033,37.7798919977,-122.406965922,2019-03-08 00:00:00,2019-03-08 08:19:00,6th Street and Howard Street,30.0,Female,Bicyclist,Pedestrian vs Motor Vehicle,City Street,South of Market,6.0
176,190288948,37.77848621469999,-122.410026015,2019-04-23 00:00:00,2019-04-23 12:16:00,IFO 160 7th Street,26.0,Male,Exterior Passenger,Motor Vehicle Collision,City Street,South of Market,6.0
177,190309215,37.7852475268,-122.43987261299998,2019-05-01 00:00:00,2019-05-01 00:00:00,Divisadero Street and Sutter Street,77.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Japantown,5.0
178,190338474,37.78161360490001,-122.415496937,2019-05-11 00:00:00,2019-05-11 19:31:00,Hyde Street and Golden Gate Avenue,65.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,5.0
179,190338929,37.7896204372,-122.42049344199997,2019-05-11 00:00:00,2019-05-11 22:12:00,Polk Street and Pine Street,47.0,Male,Motorcyclist,Motor Vehicle Collision,City Street,Nob Hill,3.0
180,190384182,37.784952298199975,-122.427986102,2019-05-31 00:00:00,2019-05-29 05:25:00,Geary Boulevard and Laguna Street,86.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Western Addition,2.0
218,190452892,37.72243160410002,-122.395622761,2019-06-23 00:00:00,2019-06-23 01:14:00,Third Street and Paul Avenue,27.0,Male,Driver,Motor Vehicle Collision,City Street,Bayview Hunters Point,10.0
219,190452892,37.72243160410002,-122.395622761,2019-06-23 00:00:00,2019-06-23 01:14:00,Third Street and Paul Avenue,49.0,Female,Passenger,Motor Vehicle Collision,City Street,Bayview Hunters Point,10.0
220,190455222,37.7844488906,-122.472585868,2019-06-24 00:00:00,2019-06-24 03:03:00,California Street and Funston Avenue,56.0,Male,Driver,Motor Vehicle Collision,City Street,Inner Richmond,1.0
221,190463504,37.788535930599984,-122.39603476599996,2019-06-28 00:00:00,2019-06-27 01:53:00,First Street and Howard Street,30.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Financial District/South Beach,6.0
222,190519884,37.78437641039999,-122.409314656,2019-07-18 00:00:00,2019-07-18 05:35:00,Eddy Street and Mason Steet,54.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,5.0
223,190528318,37.7859962358,-122.411325582,2019-07-21 00:00:00,2019-07-21 14:08:00,Taylor Street at O'Farrell Street,39.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,3.0
224,190587154,37.7839042584,-122.40809497199996,2019-08-11 00:00:00,2019-08-11 20:50:00,Market Street and Fifth Street,79.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,South of Market,6.0
228,190569613,37.72049071149999,-122.38541878099998,2019-08-04 00:00:00,2019-08-04 23:56:00,Carroll Ave at Giants Dr.,59.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Bayview Hunters Point,10.0
229,190752012,37.7362883942,-122.377165952,2019-10-06 00:00:00,2019-10-06 15:39:00,Hunters Point Blvd at Evans Ave,50.0,Male,Driver,Motor Vehicle Collision,City Street,Bayview Hunters Point,10.0
230,190722474,37.77592540629998,-122.437989848,2019-10-13 00:00:00,2019-10-13 19:57:00,Divisadero St at Grove St,70.0,Female,Driver,Motor Vehicle Collision,City Street,Hayes Valley,5.0
231,190824207,37.76022455409999,-122.417012185,2019-10-31 00:00:00,2019-10-31 15:26:00,South Van Ness Ave at 19th St,69.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Mission,9.0
232,190828691,37.7661341761,-122.401692931,2019-11-02 00:00:00,2019-11-02 08:48:00,16th St at De Haro St,77.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Mission Bay,10.0
233,190921029,37.7281617454,-122.40223505699996,2019-12-07 00:00:00,2019-12-07 06:07:00,Bacon Street and Bayshore Boulevard,79.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Portola,9.0
234,190956816,37.72526570859999,-122.46221250299998,2019-12-21 00:00:00,2019-12-21 01:07:00,Ocean Ave at Ashton Ave,66.0,Male,Driver,Motor Vehicle Collision,City Street,Oceanview/Merced/Ingleside,11.0
257,200028143,37.70885360554461,-122.40510945387248,2020-01-12 01:47:00,2020-01-12 01:16:00,Bayshore Boulevard and Sunnydale Avenue,21.0,Male,Exterior Passenger,LRV Collision,City Street,Bayview Hunters Point,10.0
258,200064846,37.76756653245504,-122.41991244715324,2020-01-26 17:29:00,2020-01-26 16:45:00,Mission Street south of 14th Street,30.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Mission,9.0
